 Mortalidade - S�o Paulo
�bitos p/Ocorr�nc por Munic�pio e M�s do �bito
Cap�tulo CID-10: I.   Algumas doen�as infecciosas e parasit�rias, III. Doen�as sangue �rg�os hemat e transt imunit�r, IV.  Doen�as end�crinas nutricionais e metab�licas, IX.  Doen�as do aparelho circulat�rio, X.   Doen�as do aparelho respirat�rio, XI.  Doen�as do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Per�odo:2011
"Municipio";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 ADAMANTINA";15;12;23;18;36;22;24;33;17;25;17;21;263
"350020 ADOLFO";1;-;-;2;1;-;1;1;-;2;-;1;9
"350030 AGUAI";12;17;15;10;14;19;6;10;5;10;6;8;132
"350040 AGUAS DA PRATA";3;1;-;2;2;1;-;-;3;2;-;-;14
"350050 AGUAS DE LINDOIA";8;7;8;13;4;13;9;9;8;7;11;10;107
"350055 AGUAS DE SANTA BARBARA";1;1;-;1;1;2;2;1;3;-;1;-;13
"350060 AGUAS DE SAO PEDRO";-;1;-;-;-;2;1;2;-;-;-;-;6
"350070 AGUDOS";11;9;7;5;8;5;13;4;6;6;1;6;81
"350075 ALAMBARI";1;1;-;1;1;-;-;-;-;6;2;1;13
"350080 ALFREDO MARCONDES";-;-;-;-;-;-;2;1;-;-;1;-;4
"350090 ALTAIR";-;1;-;-;-;-;2;1;1;-;1;-;6
"350100 ALTINOPOLIS";2;5;2;5;3;6;4;3;3;4;1;3;41
"350110 ALTO ALEGRE";-;1;2;2;2;1;2;1;-;1;-;-;12
"350115 ALUMINIO";2;1;1;4;-;1;2;2;2;1;2;4;22
"350120 ALVARES FLORENCE";2;-;-;-;1;-;1;1;-;1;1;1;8
"350130 ALVARES MACHADO";5;4;4;4;5;1;2;3;2;3;1;2;36
"350140 ALVARO DE CARVALHO";1;-;1;1;-;-;1;1;-;2;-;-;7
"350150 ALVINLANDIA";-;-;-;-;-;-;-;1;2;-;-;-;3
"350160 AMERICANA";96;87;79;95;84;88;93;74;87;69;70;73;995
"350170 AMERICO BRASILIENSE";12;17;12;19;22;19;24;24;14;17;15;12;207
"350180 AMERICO DE CAMPOS";1;-;1;4;2;-;3;2;-;1;1;-;15
"350190 AMPARO";25;24;21;19;28;40;26;29;35;35;19;25;326
"350200 ANALANDIA";1;-;-;-;2;1;-;1;-;-;-;-;5
"350210 ANDRADINA";31;28;32;30;28;28;32;20;17;22;30;24;322
"350220 ANGATUBA";8;4;12;5;6;10;12;10;11;9;7;8;102
"350230 ANHEMBI";1;1;-;2;-;1;1;3;1;3;3;-;16
"350240 ANHUMAS";-;-;-;-;-;1;-;-;-;1;-;-;2
"350250 APARECIDA";27;15;17;7;16;22;20;23;26;12;13;25;223
"350260 APARECIDA D'OESTE";2;3;2;2;2;-;1;-;-;-;1;1;14
"350270 APIAI";12;9;9;8;8;13;9;13;12;10;9;4;116
"350275 ARACARIGUAMA";4;3;3;6;1;4;3;5;3;2;-;2;36
"350280 ARACATUBA";79;83;102;88;98;97;103;88;110;80;90;100;1118
"350290 ARACOIABA DA SERRA";2;9;6;6;9;7;2;6;14;9;6;3;79
"350300 ARAMINA";1;1;-;1;-;1;1;-;-;-;1;-;6
"350310 ARANDU";-;1;2;2;1;-;1;3;-;2;-;-;12
"350315 ARAPEI";-;-;1;2;1;1;-;3;1;-;1;1;11
"350320 ARARAQUARA";116;96;111;104;106;121;121;112;85;92;87;81;1232
"350330 ARARAS";54;48;43;42;64;61;47;50;46;39;35;34;563
"350340 AREALVA";5;7;1;7;3;9;2;1;1;5;2;7;50
"350350 AREIAS";1;3;-;1;-;1;2;-;-;-;-;-;8
"350360 AREIOPOLIS";2;2;1;1;1;2;3;2;3;-;2;1;20
"350370 ARIRANHA";-;2;2;4;-;2;3;1;2;2;-;2;20
"350380 ARTUR NOGUEIRA";5;1;6;3;3;1;6;3;4;6;3;4;45
"350390 ARUJA";26;16;16;28;21;33;18;19;22;24;15;12;250
"350395 ASPASIA";-;-;-;-;-;-;1;-;-;-;-;1;2
"350400 ASSIS";49;40;43;53;47;53;56;47;41;29;36;57;551
"350410 ATIBAIA";59;43;59;55;61;67;77;59;64;53;45;49;691
"350420 AURIFLAMA";3;10;7;4;9;3;8;8;1;8;8;3;72
"350430 AVAI";2;-;-;1;1;-;6;-;2;2;-;-;14
"350440 AVANHANDAVA";4;-;3;-;3;1;-;-;1;-;1;1;14
"350450 AVARE";41;25;38;27;28;37;29;34;40;26;32;36;393
"350460 BADY BASSITT";-;2;-;1;3;3;-;1;3;-;5;-;18
"350470 BALBINOS";1;1;-;-;-;-;-;-;-;-;1;-;3
"350480 BALSAMO";-;1;1;-;2;2;4;-;-;1;2;-;13
"350490 BANANAL";-;2;1;1;-;4;2;1;4;-;2;5;22
"350500 BARAO DE ANTONINA";-;-;-;-;-;-;1;1;-;-;-;-;2
"350510 BARBOSA";3;1;-;-;-;1;1;1;-;-;1;-;8
"350520 BARIRI";15;13;15;13;13;19;15;9;14;6;5;8;145
"350530 BARRA BONITA";10;14;13;19;12;19;24;15;13;17;18;20;194
"350535 BARRA DO CHAPEU";2;-;1;1;1;1;-;2;-;-;-;-;8
"350540 BARRA DO TURVO";6;2;1;1;4;4;2;4;2;2;-;10;38
"350550 BARRETOS";62;61;72;60;70;71;71;63;62;72;71;67;802
"350560 BARRINHA";6;1;4;2;1;3;2;1;4;4;4;1;33
"350570 BARUERI";95;74;88;83;95;97;106;80;96;72;75;100;1061
"350580 BASTOS";2;3;1;1;3;3;8;2;4;1;4;5;37
"350590 BATATAIS";21;20;15;21;19;30;34;22;19;16;13;17;247
"350600 BAURU";182;160;190;198;197;202;212;204;207;166;160;170;2248
"350610 BEBEDOURO";43;28;34;38;27;38;32;30;32;36;23;26;387
"350630 BERNARDINO DE CAMPOS";5;3;4;6;11;1;4;5;8;3;5;9;64
"350635 BERTIOGA";21;16;14;26;11;18;22;16;19;16;9;26;214
"350640 BILAC";-;2;3;1;3;1;3;4;2;-;5;1;25
"350650 BIRIGUI";22;25;22;19;30;31;36;25;23;30;26;29;318
"350660 BIRITIBA-MIRIM";5;-;2;5;3;6;3;1;5;2;1;1;34
"350670 BOA ESPERANCA DO SUL";6;2;1;4;3;6;3;5;2;4;1;-;37
"350680 BOCAINA";4;2;2;2;-;5;4;3;1;5;2;4;34
"350690 BOFETE";1;2;1;3;2;3;1;-;-;2;1;-;16
"350700 BOITUVA";12;12;11;18;13;14;13;17;14;18;14;10;166
"350710 BOM JESUS DOS PERDOES";5;8;3;5;4;7;7;7;4;6;2;6;64
"350715 BOM SUCESSO DE ITARARE";-;1;-;-;-;-;-;1;-;2;-;-;4
"350730 BORACEIA";-;1;1;-;2;1;1;-;-;-;-;-;6
"350740 BORBOREMA";7;2;12;4;3;2;3;5;5;3;6;4;56
"350745 BOREBI";-;-;-;-;-;1;-;-;-;-;-;-;1
"350750 BOTUCATU";70;69;61;81;72;98;100;80;79;81;65;81;937
"350760 BRAGANCA PAULISTA";74;85;95;83;113;89;102;105;112;90;86;86;1120
"350770 BRAUNA";1;-;-;1;1;-;2;-;1;1;2;-;9
"350775 BREJO ALEGRE";-;3;-;-;-;-;-;-;-;-;-;-;3
"350780 BRODOWSKI";5;1;2;3;8;4;6;4;-;4;4;2;43
"350790 BROTAS";7;7;7;7;6;10;14;1;9;8;3;3;82
"350800 BURI";4;2;2;3;5;4;3;5;-;4;4;7;43
"350810 BURITAMA";1;5;6;3;-;9;7;3;6;3;3;5;51
"350820 BURITIZAL";-;-;-;1;-;1;-;1;-;2;-;1;6
"350830 CABRALIA PAULISTA";-;-;-;1;1;1;-;1;-;1;-;-;5
"350840 CABREUVA";8;8;6;9;10;10;12;7;9;6;7;5;97
"350850 CACAPAVA";13;13;22;24;19;23;32;23;20;25;22;19;255
"350860 CACHOEIRA PAULISTA";6;1;3;3;9;9;12;11;6;8;7;12;87
"350870 CACONDE";7;3;8;8;3;4;4;5;5;5;3;6;61
"350880 CAFELANDIA";6;2;5;4;6;5;13;7;2;4;2;4;60
"350890 CAIABU";-;-;1;-;-;1;-;1;-;-;-;-;3
"350900 CAIEIRAS";25;17;15;21;19;27;32;20;11;17;20;11;235
"350910 CAIUA";2;-;-;-;1;-;1;1;1;-;-;-;6
"350920 CAJAMAR";20;9;20;7;22;25;14;21;18;15;15;19;205
"350925 CAJATI";6;5;4;5;7;5;6;3;5;8;3;6;63
"350930 CAJOBI";-;1;2;3;2;1;1;1;2;1;2;2;18
"350940 CAJURU";6;5;11;12;12;6;12;10;11;11;7;9;112
"350945 CAMPINA DO MONTE ALEGRE";1;-;3;1;-;1;-;2;-;-;1;-;9
"350950 CAMPINAS";482;428;473;450;465;539;566;515;441;478;487;413;5737
"350960 CAMPO LIMPO PAULISTA";12;13;15;15;16;19;26;13;16;18;13;8;184
"350970 CAMPOS DO JORDAO";17;26;26;24;27;21;23;28;21;24;14;12;263
"350980 CAMPOS NOVOS PAULISTA";-;-;2;-;-;2;2;-;-;-;1;-;7
"350990 CANANEIA";1;-;3;1;2;-;1;3;3;1;-;3;18
"350995 CANAS";1;1;-;-;1;-;1;-;-;-;-;-;4
"351000 CANDIDO MOTA";10;7;4;8;19;11;8;7;7;9;7;10;107
"351015 CANITAR";-;-;1;-;1;-;1;-;1;-;1;-;5
"351020 CAPAO BONITO";25;10;13;10;24;19;24;18;20;18;20;21;222
"351030 CAPELA DO ALTO";3;2;4;-;2;3;3;2;6;6;2;2;35
"351040 CAPIVARI";21;29;24;20;26;31;18;19;17;16;15;20;256
"351050 CARAGUATATUBA";38;33;26;41;31;37;31;18;26;30;31;31;373
"351060 CARAPICUIBA";86;73;97;57;76;97;79;83;83;88;67;85;971
"351070 CARDOSO";1;4;2;-;6;3;3;3;4;1;1;1;29
"351080 CASA BRANCA";17;9;12;6;17;18;14;15;10;7;15;12;152
"351090 CASSIA DOS COQUEIROS";-;-;-;-;-;-;-;1;-;1;-;-;2
"351100 CASTILHO";3;1;3;1;1;5;1;6;5;5;3;2;36
"351110 CATANDUVA";100;113;104;84;116;117;94;107;80;80;89;78;1162
"351120 CATIGUA";-;1;-;2;-;1;1;1;-;1;-;-;7
"351130 CEDRAL";2;-;2;2;1;-;4;-;3;2;-;1;17
"351140 CERQUEIRA CESAR";14;9;7;12;12;9;6;8;10;10;6;3;106
"351150 CERQUILHO";8;8;4;4;12;7;9;11;11;6;10;6;96
"351160 CESARIO LANGE";3;2;6;2;6;8;3;7;6;3;2;4;52
"351170 CHARQUEADA";8;5;4;4;3;9;7;1;2;6;3;3;55
"351190 CLEMENTINA";2;-;1;-;2;1;1;1;2;2;1;1;14
"351200 COLINA";7;2;2;1;5;2;6;3;1;-;2;-;31
"351210 COLOMBIA";2;-;-;3;-;-;6;1;-;-;-;1;13
"351220 CONCHAL";8;5;13;5;2;5;4;5;4;5;5;10;71
"351230 CONCHAS";5;11;3;5;7;7;7;10;4;7;11;6;83
"351240 CORDEIROPOLIS";3;2;2;-;3;1;7;3;2;1;1;3;28
"351250 COROADOS";-;-;1;-;-;-;-;-;-;-;1;-;2
"351260 CORONEL MACEDO";-;-;1;1;-;-;-;-;-;1;-;-;3
"351270 CORUMBATAI";-;-;-;-;1;-;-;1;1;1;-;1;5
"351280 COSMOPOLIS";7;9;7;14;7;8;13;4;7;6;8;14;104
"351290 COSMORAMA";1;1;-;2;2;1;1;1;4;1;2;-;16
"351300 COTIA";63;63;61;65;67;68;80;72;67;69;86;70;831
"351310 CRAVINHOS";3;-;8;2;4;7;6;7;2;6;4;4;53
"351320 CRISTAIS PAULISTA";1;2;2;1;1;2;-;-;2;2;1;2;16
"351330 CRUZALIA";-;-;1;1;-;2;-;-;-;-;-;1;5
"351340 CRUZEIRO";37;41;23;36;29;37;47;32;36;24;23;34;399
"351350 CUBATAO";31;24;26;43;29;40;34;27;35;37;45;40;411
"351360 CUNHA";12;8;4;4;3;10;9;7;6;9;7;8;87
"351370 DESCALVADO";9;5;15;6;16;9;18;7;16;11;9;7;128
"351380 DIADEMA";105;92;96;89;102;124;109;114;114;112;97;112;1266
"351390 DIVINOLANDIA";5;3;6;4;8;5;12;6;5;8;7;6;75
"351400 DOBRADA";-;-;-;-;-;2;-;-;-;-;1;-;3
"351410 DOIS CORREGOS";9;6;11;7;13;10;4;8;9;9;17;4;107
"351420 DOLCINOPOLIS";-;-;-;-;-;-;-;-;-;-;1;-;1
"351430 DOURADO";-;1;3;2;2;1;2;4;2;-;-;1;18
"351440 DRACENA";28;25;24;23;25;27;28;31;23;27;26;33;320
"351450 DUARTINA";6;2;10;8;4;5;4;6;5;7;3;4;64
"351460 DUMONT";-;-;1;-;1;1;2;-;3;2;1;3;14
"351470 ECHAPORA";1;1;1;2;-;1;3;1;-;-;1;5;16
"351480 ELDORADO";2;1;7;-;4;9;2;1;3;3;2;4;38
"351490 ELIAS FAUSTO";2;1;1;2;1;1;3;1;1;2;2;3;20
"351492 ELISIARIO";-;-;-;-;1;-;-;1;-;-;-;-;2
"351495 EMBAUBA";-;-;1;-;-;-;-;1;-;-;-;-;2
"351500 EMBU DAS ARTES";37;43;30;39;52;49;51;44;40;44;24;52;505
"351510 EMBU-GUACU";13;6;14;16;14;27;20;21;20;12;18;17;198
"351512 EMILIANOPOLIS";-;-;-;-;1;-;1;-;-;-;2;-;4
"351515 ENGENHEIRO COELHO";-;1;-;2;3;2;3;-;1;-;1;1;14
"351518 ESPIRITO SANTO DO PINHAL";15;16;24;17;25;20;27;25;24;11;22;21;247
"351519 ESPIRITO SANTO DO TURVO";-;1;-;-;1;1;1;-;-;-;-;-;4
"351520 ESTRELA D'OESTE";1;3;1;1;-;-;-;2;2;1;3;-;14
"351530 ESTRELA DO NORTE";1;-;-;-;-;2;-;-;3;1;-;-;7
"351535 EUCLIDES DA CUNHA PAULISTA";-;1;-;2;-;2;1;-;1;1;1;-;9
"351540 FARTURA";7;6;5;3;4;7;4;4;3;10;4;6;63
"351550 FERNANDOPOLIS";25;36;53;35;30;36;53;42;35;41;38;33;457
"351560 FERNANDO PRESTES";3;1;2;1;-;2;-;-;-;2;1;1;13
"351565 FERNAO";1;-;-;-;-;-;-;1;-;-;-;-;2
"351570 FERRAZ DE VASCONCELOS";49;38;38;47;46;52;59;59;55;52;55;29;579
"351580 FLORA RICA";-;-;1;-;-;-;2;-;-;-;3;-;6
"351590 FLOREAL";-;-;-;-;1;-;-;-;-;-;-;1;2
"351600 FLORIDA PAULISTA";2;1;3;5;-;2;1;1;3;3;2;3;26
"351610 FLORINIA";-;-;1;-;-;1;1;3;-;1;2;2;11
"351620 FRANCA";128;119;118;148;166;151;159;123;137;145;126;130;1650
"351630 FRANCISCO MORATO";57;42;49;43;60;57;50;48;49;45;45;42;587
"351640 FRANCO DA ROCHA";46;44;43;44;48;57;60;57;51;44;42;52;588
"351650 GABRIEL MONTEIRO";-;-;-;1;1;-;1;1;-;-;1;-;5
"351660 GALIA";1;2;-;-;3;3;4;1;7;2;1;2;26
"351670 GARCA";19;19;12;21;17;23;19;19;21;20;14;12;216
"351680 GASTAO VIDIGAL";1;1;1;-;1;-;-;-;-;1;-;-;5
"351685 GAVIAO PEIXOTO";-;1;-;-;1;-;-;1;-;-;-;-;3
"351690 GENERAL SALGADO";4;1;6;2;6;1;1;2;3;2;5;1;34
"351700 GETULINA";1;1;5;4;3;2;5;3;6;4;2;3;39
"351710 GLICERIO";-;-;1;1;-;-;-;1;-;-;1;-;4
"351720 GUAICARA";-;-;-;-;1;-;-;-;-;-;2;6;9
"351730 GUAIMBE";-;5;-;2;-;4;2;1;-;-;1;1;16
"351740 GUAIRA";9;11;12;14;10;12;10;10;10;7;11;7;123
"351750 GUAPIACU";3;1;3;3;5;5;-;2;2;1;1;2;28
"351760 GUAPIARA";3;5;9;5;6;3;8;3;6;4;5;5;62
"351770 GUARA";1;3;3;4;9;4;7;6;2;3;8;3;53
"351780 GUARACAI";1;1;3;3;2;3;3;2;1;2;1;1;23
"351790 GUARACI";-;-;1;1;-;1;3;1;2;2;1;1;13
